,MOSA_outofsample,method,corr
424,In-sample,MOSA_corr,0.6397435445931267
425,In-sample,MOSA_corr,0.512018764900144
426,In-sample,MOSA_corr,0.501684123735581
427,In-sample,MOSA_corr,0.5130860312458186
428,In-sample,MOSA_corr,0.8312181636409057
429,In-sample,MOSA_corr,0.7712032729844552
430,In-sample,MOSA_corr,0.7120808908962701
431,In-sample,MOSA_corr,0.7388084389215233
432,In-sample,MOSA_corr,0.6311266435240165
433,Out-of-sample,MOSA_corr,0.6439476188973825
434,Out-of-sample,MOSA_corr,0.6294088186526987
435,In-sample,MOSA_corr,0.7845792226493282
436,In-sample,MOSA_corr,0.6069488221909205
437,In-sample,MOSA_corr,0.7271599299470412
438,In-sample,MOSA_corr,0.6544846952014127
439,Out-of-sample,MOSA_corr,0.4922509065327213
440,In-sample,MOSA_corr,0.8334164508905926
441,In-sample,MOSA_corr,0.8593368985250038
442,Out-of-sample,MOSA_corr,0.4769722236909385
443,Out-of-sample,MOSA_corr,0.6928826791950152
444,In-sample,MOSA_corr,0.7449483208001286
445,In-sample,MOSA_corr,0.5403905576679003
446,In-sample,MOSA_corr,0.6157361364861185
447,In-sample,MOSA_corr,0.6515458657598392
448,In-sample,MOSA_corr,0.6501805848289224
449,In-sample,MOSA_corr,0.4595956916569716
450,In-sample,MOSA_corr,0.4213828619602918
451,In-sample,MOSA_corr,0.6564560503588621
452,In-sample,MOSA_corr,0.6781584711375241
453,In-sample,MOSA_corr,0.6945279029458706
454,In-sample,MOSA_corr,0.747964300724762
455,In-sample,MOSA_corr,0.6846874872369848
456,In-sample,MOSA_corr,0.7188683535553413
457,In-sample,MOSA_corr,0.7925299680322597
458,In-sample,MOSA_corr,0.8075418115758204
459,In-sample,MOSA_corr,0.7387428411937466
460,In-sample,MOSA_corr,0.45131414864435343
461,In-sample,MOSA_corr,0.48397145826225385
462,In-sample,MOSA_corr,0.521986640441502
463,In-sample,MOSA_corr,0.7993443755233103
464,In-sample,MOSA_corr,0.45489459520957465
465,In-sample,MOSA_corr,0.6957279124600035
466,In-sample,MOSA_corr,0.7357799207201772
467,In-sample,MOSA_corr,0.6535533352387216
468,In-sample,MOSA_corr,0.8233228982860604
469,In-sample,MOSA_corr,0.7354770422263326
470,In-sample,MOSA_corr,0.652781939531405
471,In-sample,MOSA_corr,0.4743990076002088
472,In-sample,MOSA_corr,0.8469648891418474
473,In-sample,MOSA_corr,0.8102502877176789
474,In-sample,MOSA_corr,0.8555278322013989
475,In-sample,MOSA_corr,0.5116811720216318
476,In-sample,MOSA_corr,0.7626288696772251
477,In-sample,MOSA_corr,0.5412321422505597
478,In-sample,MOSA_corr,0.7507105241702018
479,Out-of-sample,MOSA_corr,0.7026612768309326
480,In-sample,MOSA_corr,0.7108813067991321
481,In-sample,MOSA_corr,0.6415559842492865
482,In-sample,MOSA_corr,0.7284654063551874
483,In-sample,MOSA_corr,0.7494232072249992
484,In-sample,MOSA_corr,0.37689601623725133
485,In-sample,MOSA_corr,0.6347178124173755
486,In-sample,MOSA_corr,0.6135468641699173
487,In-sample,MOSA_corr,0.6158918247305532
488,In-sample,MOSA_corr,0.7100920557561861
489,In-sample,MOSA_corr,0.10418646482838927
490,Out-of-sample,MOSA_corr,0.7322802003516764
491,In-sample,MOSA_corr,0.6371285421928548
