y_id,x_id,n_orig,beta_orig,lr_orig,covs_orig,pval_orig,fdr_orig,n_vae,beta_vae,lr_vae,covs_vae,pval_vae,fdr_vae,log10p_orig,log10p_vae,diff_log10p
TWNK,LEF1,706.0,0.0460710213490891,6.658467916679001,16.0,0.0098685725271614,0.367715719760456,1523.0,0.0630791185319981,40.157863087973965,19.0,2.3424672518312485e-10,1.394210269215071e-07,2.00574566277227,9.630326471922958,7.624580809150688
MAPK1,MLH1,706.0,-0.0341451065808398,4.773863767617058,16.0,0.0288949081303553,0.6480312614233572,1523.0,-0.052537439586187,37.88455045356841,19.0,7.505727718289555e-10,8.449948265250383e-07,1.539178682008921,9.124607194331304,7.585428512322383
MDM2,IRF1,706.0,-0.0213220026266363,0.9997336607248144,16.0,0.3173749627537303,0.820234256205516,1523.0,-0.0773232540686965,33.19517505898057,19.0,8.335711040478723e-09,1.5136037886082173e-06,0.4984273370858475,8.07905734871114,7.580630011625293
PPP1R8,STAT5B,706.0,0.0424203505688431,8.865212744176006,16.0,0.0029065637395848,0.2057560059602423,1523.0,0.0533877586880766,42.29469911303113,19.0,7.850505532764031e-11,4.910055071547636e-08,2.536620148728088,10.10510237599096,7.568482227262871
RAC1,BRCA1,706.0,-0.0247421309788728,2.383861546892149,16.0,0.1225941736849449,0.5715081235036377,1523.0,-0.0540467346921922,34.88101750838723,19.0,3.504812966740846e-09,1.1424371521720342e-06,0.9115301692678869,8.455335153069559,7.543804983801672
SOX10,CBLB,706.0,-0.038323240222903,6.042921737149754,16.0,0.0139621585960602,0.3842832834710859,1523.0,-0.0630863242219526,38.90993406454891,19.0,4.4381633333708375e-10,2.4982421403544444e-06,1.855047433153677,9.352796718896174,7.497749285742497
PRKRA,BRD4,706.0,-0.0710075635818752,10.54188596945255,16.0,0.001166992769274,0.4017740446468705,1523.0,-0.0823490110301499,43.71330654054782,19.0,3.8017805890979206e-11,1.07001114680161e-07,2.9329318348493434,10.420012951040718,7.487081116191375
CDK4,WNK4,706.0,0.0741703928960655,10.498192082398646,16.0,0.0011949140371836,0.1282205757758884,1523.0,0.0925583434377059,43.62655086279392,19.0,3.9741054207669235e-11,2.485582157055224e-08,2.922663336991713,10.400760616579475,7.478097279587763
PRORP,LEF1,706.0,0.0490590066539049,10.46445559835638,16.0,0.0012169340482929,0.2084602267752654,1523.0,0.0547886256433387,43.44892529710432,19.0,4.351705792049275e-11,6.123937975861342e-08,2.9147329577096146,10.361340473881715,7.4466075161721
MDM2,FBN2,706.0,-0.0169086752286489,0.6386849054001686,16.0,0.424187413508568,0.90095961071421,1523.0,-0.0730565813372461,31.988984918049027,19.0,1.550492668927792e-08,2.9092410777981806e-06,0.3724422220167032,7.8095302828621485,7.437088060845445
RAC1,ETV4,706.0,-0.0388420557236841,5.743756763167767,16.0,0.0165473631130949,0.2880793085827826,1523.0,-0.0575741423449036,38.28164892629593,19.0,6.123580973503815e-10,2.8929357300348417e-07,1.7812712028956537,9.212994535008598,7.431723332112944
ITGB5,LOX,706.0,-0.0441914605083813,8.224864237738075,16.0,0.0041320296422792,0.2160461212963139,1523.0,-0.0555004719040256,40.984776581505685,19.0,1.5341960539217204e-10,3.754778081532767e-08,2.3838365716073753,9.814119138629668,7.430282567022292
SOX10,NEFH,706.0,-0.0103713866242358,0.475599992566913,16.0,0.4904221281119689,0.935805194409298,1523.0,-0.05474454590299,31.36493244275698,19.0,2.1380793639267414e-08,3.008812184885907e-05,0.3094299424453654,7.669976178137654,7.360546235692289
